DEBUG    | 2023-04-19 13:05:01,615 | Yasat.main_cli | Analyzing examples/tmp/_AC1450-V1.0.0.36_10.0.17.zip.extracted/_AC1450-V1.0.0.36_10.0.17.chk.extracted/squashfs-root/usr/sbin/ddnsd completed in 0 seconds
DEBUG    | 2023-04-19 13:05:01,636 | Yasat.main_cli | Analyzing examples/tmp/_AC1450-V1.0.0.36_10.0.17.zip.extracted/_AC1450-V1.0.0.36_10.0.17.chk.extracted/squashfs-root/usr/sbin/wlconf completed in 0 seconds
DEBUG    | 2023-04-19 13:05:01,641 | Yasat.main_cli | Analyzing examples/tmp/_AC1450-V1.0.0.36_10.0.17.zip.extracted/_AC1450-V1.0.0.36_10.0.17.chk.extracted/squashfs-root/usr/sbin/mld completed in 0 seconds
DEBUG    | 2023-04-19 13:05:01,647 | Yasat.main_cli | Analyzing examples/tmp/_AC1450-V1.0.0.36_10.0.17.zip.extracted/_AC1450-V1.0.0.36_10.0.17.chk.extracted/squashfs-root/usr/sbin/swresetd completed in 0 seconds
DEBUG    | 2023-04-19 13:05:01,652 | Yasat.main_cli | Analyzing examples/tmp/_AC1450-V1.0.0.36_10.0.17.zip.extracted/_AC1450-V1.0.0.36_10.0.17.chk.extracted/squashfs-root/usr/sbin/pppoecd completed in 0 seconds
DEBUG    | 2023-04-19 13:05:01,658 | Yasat.main_cli | Analyzing examples/tmp/_AC1450-V1.0.0.36_10.0.17.zip.extracted/_AC1450-V1.0.0.36_10.0.17.chk.extracted/squashfs-root/usr/sbin/emf completed in 0 seconds
DEBUG    | 2023-04-19 13:05:01,679 | Yasat.main_cli | Analyzing examples/tmp/_AC1450-V1.0.0.36_10.0.17.zip.extracted/_AC1450-V1.0.0.36_10.0.17.chk.extracted/squashfs-root/usr/sbin/dnsmasq completed in 0 seconds
DEBUG    | 2023-04-19 13:05:01,708 | Yasat.main_cli | Analyzing examples/tmp/_AC1450-V1.0.0.36_10.0.17.zip.extracted/_AC1450-V1.0.0.36_10.0.17.chk.extracted/squashfs-root/usr/sbin/dlnad completed in 0 seconds
DEBUG    | 2023-04-19 13:05:01,726 | Yasat.main_cli | Analyzing examples/tmp/_AC1450-V1.0.0.36_10.0.17.zip.extracted/_AC1450-V1.0.0.36_10.0.17.chk.extracted/squashfs-root/usr/sbin/autoipd completed in 0 seconds
DEBUG    | 2023-04-19 13:05:01,728 | Yasat.main_cli | Analyzing examples/tmp/_AC1450-V1.0.0.36_10.0.17.zip.extracted/_AC1450-V1.0.0.36_10.0.17.chk.extracted/squashfs-root/usr/sbin/timesync completed in 0 seconds
DEBUG    | 2023-04-19 13:05:01,734 | Yasat.main_cli | Analyzing examples/tmp/_AC1450-V1.0.0.36_10.0.17.zip.extracted/_AC1450-V1.0.0.36_10.0.17.chk.extracted/squashfs-root/usr/sbin/pptp completed in 0 seconds
DEBUG    | 2023-04-19 13:05:01,751 | Yasat.main_cli | Analyzing examples/tmp/_AC1450-V1.0.0.36_10.0.17.zip.extracted/_AC1450-V1.0.0.36_10.0.17.chk.extracted/squashfs-root/usr/sbin/dnsRedirectReplyd completed in 0 seconds
DEBUG    | 2023-04-19 13:05:01,753 | Yasat.main_cli | Analyzing examples/tmp/_AC1450-V1.0.0.36_10.0.17.zip.extracted/_AC1450-V1.0.0.36_10.0.17.chk.extracted/squashfs-root/usr/sbin/wan_debug completed in 0 seconds
DEBUG    | 2023-04-19 13:05:01,758 | Yasat.main_cli | Analyzing examples/tmp/_AC1450-V1.0.0.36_10.0.17.zip.extracted/_AC1450-V1.0.0.36_10.0.17.chk.extracted/squashfs-root/usr/sbin/check_fw completed in 0 seconds
DEBUG    | 2023-04-19 13:05:01,762 | Yasat.main_cli | Analyzing examples/tmp/_AC1450-V1.0.0.36_10.0.17.zip.extracted/_AC1450-V1.0.0.36_10.0.17.chk.extracted/squashfs-root/usr/sbin/ip6tables-save completed in 0 seconds
DEBUG    | 2023-04-19 13:05:01,780 | Yasat.main_cli | Analyzing examples/tmp/_AC1450-V1.0.0.36_10.0.17.zip.extracted/_AC1450-V1.0.0.36_10.0.17.chk.extracted/squashfs-root/usr/sbin/ip6tables-restore completed in 0 seconds
