ERROR    | 2023-04-21 09:56:52,414 | Yasat.main_cli | Error occured when analyzing tests_dev/tmp/TP-Link/_M4_V4_211202.zip.extracted/_M4R 4.0_en_1.0.0 Build 20211202 Rel. 69482_US_EU_up.bin.extracted/squashfs-root/usr/bin/openssl
ERROR    | 2023-04-21 09:56:52,417 | Yasat.main_cli | claripy.errors.ClaripyOperationError: args' length must all be equal

ERROR    | 2023-04-21 09:57:43,060 | Yasat.main_cli | Error occured when analyzing tests_dev/tmp/TP-Link/_M4_V4_211202.zip.extracted/_M4R 4.0_en_1.0.0 Build 20211202 Rel. 69482_US_EU_up.bin.extracted/squashfs-root/usr/sbin/pppd
ERROR    | 2023-04-21 09:57:43,061 | Yasat.main_cli | claripy.errors.ClaripyZeroDivisionError

ERROR    | 2023-04-21 09:58:15,125 | Yasat.main_cli | Error occured when analyzing tests_dev/tmp/TP-Link/_Deco_M5_1.5.7_20210819.zip.extracted/5949E7
ERROR    | 2023-04-21 09:58:15,126 | Yasat.main_cli | KeyError: 32

ERROR    | 2023-04-21 09:58:15,178 | Yasat.main_cli | Error occured when analyzing tests_dev/tmp/TP-Link/_Deco_M5_1.5.7_20210819.zip.extracted/575473
ERROR    | 2023-04-21 09:58:15,179 | Yasat.main_cli | elftools.common.exceptions.ELFParseError: expected 4, found 0

ERROR    | 2023-04-21 09:58:15,199 | Yasat.main_cli | Error occured when analyzing tests_dev/tmp/TP-Link/_Deco_M5_1.5.7_20210819.zip.extracted/4D611B
ERROR    | 2023-04-21 09:58:15,199 | Yasat.main_cli | KeyError: 32

ERROR    | 2023-04-21 09:58:15,243 | Yasat.main_cli | Error occured when analyzing tests_dev/tmp/TP-Link/_Deco_M5_1.5.7_20210819.zip.extracted/6D5A97
ERROR    | 2023-04-21 09:58:15,243 | Yasat.main_cli | KeyError: 32

ERROR    | 2023-04-21 09:58:15,258 | Yasat.main_cli | Error occured when analyzing tests_dev/tmp/TP-Link/_Deco_M5_1.5.7_20210819.zip.extracted/70C7AC
ERROR    | 2023-04-21 09:58:15,258 | Yasat.main_cli | KeyError: 32

ERROR    | 2023-04-21 09:58:15,323 | Yasat.main_cli | Error occured when analyzing tests_dev/tmp/TP-Link/_Deco_M5_1.5.7_20210819.zip.extracted/C95C7E
ERROR    | 2023-04-21 09:58:15,323 | Yasat.main_cli | elftools.common.exceptions.ELFParseError: expected 4, found 0

ERROR    | 2023-04-21 09:58:15,363 | Yasat.main_cli | Error occured when analyzing tests_dev/tmp/TP-Link/_Deco_M5_1.5.7_20210819.zip.extracted/9074CF
ERROR    | 2023-04-21 09:58:15,364 | Yasat.main_cli | KeyError: 32

ERROR    | 2023-04-21 09:58:15,418 | Yasat.main_cli | Error occured when analyzing tests_dev/tmp/TP-Link/_Deco_M5_1.5.7_20210819.zip.extracted/6688A3
ERROR    | 2023-04-21 09:58:15,424 | Yasat.main_cli | KeyError: 32

ERROR    | 2023-04-21 09:58:15,466 | Yasat.main_cli | Error occured when analyzing tests_dev/tmp/TP-Link/_Deco_M5_1.5.7_20210819.zip.extracted/51D84D
ERROR    | 2023-04-21 09:58:15,466 | Yasat.main_cli | KeyError: 32

ERROR    | 2023-04-21 09:58:15,528 | Yasat.main_cli | Error occured when analyzing tests_dev/tmp/TP-Link/_Deco_M5_1.5.7_20210819.zip.extracted/A65AA6
ERROR    | 2023-04-21 09:58:15,529 | Yasat.main_cli | elftools.common.exceptions.ELFParseError: expected 4, found 0

ERROR    | 2023-04-21 09:58:15,581 | Yasat.main_cli | Error occured when analyzing tests_dev/tmp/TP-Link/_Deco_M5_1.5.7_20210819.zip.extracted/68FF11
ERROR    | 2023-04-21 09:58:15,582 | Yasat.main_cli | KeyError: 32

ERROR    | 2023-04-21 09:58:15,685 | Yasat.main_cli | Error occured when analyzing tests_dev/tmp/TP-Link/_Deco_M5_1.5.7_20210819.zip.extracted/657BBB
ERROR    | 2023-04-21 09:58:15,686 | Yasat.main_cli | KeyError: 32

ERROR    | 2023-04-21 09:58:15,731 | Yasat.main_cli | Error occured when analyzing tests_dev/tmp/TP-Link/_Deco_M5_1.5.7_20210819.zip.extracted/50CD21
ERROR    | 2023-04-21 09:58:15,732 | Yasat.main_cli | KeyError: 32

ERROR    | 2023-04-21 09:58:16,044 | Yasat.main_cli | Error occured when analyzing tests_dev/tmp/TP-Link/_Deco_M5_1.5.7_20210819.zip.extracted/6AE101
ERROR    | 2023-04-21 09:58:16,044 | Yasat.main_cli | KeyError: 32

ERROR    | 2023-04-21 09:58:16,089 | Yasat.main_cli | Error occured when analyzing tests_dev/tmp/TP-Link/_Deco_M5_1.5.7_20210819.zip.extracted/966D83
ERROR    | 2023-04-21 09:58:16,089 | Yasat.main_cli | KeyError: 32

ERROR    | 2023-04-21 09:58:16,149 | Yasat.main_cli | Error occured when analyzing tests_dev/tmp/TP-Link/_Deco_M5_1.5.7_20210819.zip.extracted/4A05E6
ERROR    | 2023-04-21 09:58:16,150 | Yasat.main_cli | KeyError: 32

ERROR    | 2023-04-21 09:58:16,206 | Yasat.main_cli | Error occured when analyzing tests_dev/tmp/TP-Link/_Deco_M5_1.5.7_20210819.zip.extracted/555A57
ERROR    | 2023-04-21 09:58:16,206 | Yasat.main_cli | KeyError: 32

ERROR    | 2023-04-21 09:58:16,456 | Yasat.main_cli | Error occured when analyzing tests_dev/tmp/TP-Link/_Deco_M5_1.5.7_20210819.zip.extracted/6788CF
ERROR    | 2023-04-21 09:58:16,457 | Yasat.main_cli | KeyError: 32

ERROR    | 2023-04-21 09:58:16,516 | Yasat.main_cli | Error occured when analyzing tests_dev/tmp/TP-Link/_Deco_M5_1.5.7_20210819.zip.extracted/67B30C
ERROR    | 2023-04-21 09:58:16,516 | Yasat.main_cli | KeyError: 32

ERROR    | 2023-04-21 10:00:33,652 | Yasat.main_cli | Error occured when analyzing tests_dev/tmp/TP-Link/_M4_V4_211202.zip.extracted/_M4R 4.0_en_1.0.0 Build 20211202 Rel. 69482_US_EU_up.bin.extracted/squashfs-root/bin/busybox
ERROR    | 2023-04-21 10:00:33,653 | Yasat.main_cli | claripy.errors.ClaripyZeroDivisionError

