WARNING  | 2023-04-21 18:05:19,149 | Yasat.main_cli | Failed to extract ELF files from dataset/TP-Link/RE550_V1_211110.zip
WARNING  | 2023-04-21 18:05:19,190 | Yasat.main_cli | Failed to extract ELF files from dataset/TP-Link/M7350(EU)_V7_211119.zip
WARNING  | 2023-04-21 18:05:19,224 | Yasat.main_cli | Failed to extract ELF files from dataset/TP-Link/TL-SG2008P(UN)_v3_3.0.0_20211201.zip
WARNING  | 2023-04-21 18:05:19,281 | Yasat.main_cli | Failed to extract ELF files from dataset/TP-Link/Archer C64(US)_V1_210716.zip
WARNING  | 2023-04-21 18:05:19,406 | Yasat.main_cli | Failed to extract ELF files from dataset/TP-Link/Archer C80(US)_V2.2_220926.zip
WARNING  | 2023-04-21 18:05:19,449 | Yasat.main_cli | Failed to extract ELF files from dataset/TP-Link/TL-MR6400(EU)_V5.20_210803.zip
WARNING  | 2023-04-21 18:05:19,457 | Yasat.main_cli | Failed to extract ELF files from dataset/TP-Link/Archer AX23(EU)_V1.2_220216.zip
WARNING  | 2023-04-21 18:05:19,544 | Yasat.main_cli | Failed to extract ELF files from dataset/TP-Link/Archer AX72(US&EU&JP)_V1_211124.zip
WARNING  | 2023-04-21 18:05:19,582 | Yasat.main_cli | Failed to extract ELF files from dataset/TP-Link/EAP620 HD(US)_V3_1.0.1 Build 20220119.zip
WARNING  | 2023-04-21 18:05:19,639 | Yasat.main_cli | Failed to extract ELF files from dataset/TP-Link/Deco_XE75_V1_1.1.4_20220328.zip
WARNING  | 2023-04-21 18:05:19,651 | Yasat.main_cli | Failed to extract ELF files from dataset/TP-Link/Deco_X20_V4_1.0.0_220110.zip
WARNING  | 2023-04-21 18:05:19,667 | Yasat.main_cli | Failed to extract ELF files from dataset/TP-Link/TL-MR100(EU)_V2_221118.zip
WARNING  | 2023-04-21 18:05:19,674 | Yasat.main_cli | Failed to extract ELF files from dataset/TP-Link/RE605X(US)_V3_220823.zip
